trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
6,NEAR,B,SHORT,2025-11-01 00:40:00+00:00,2025-11-01 03:15:00+00:00,2.093,2.127,5m,23,0.9108493628427469,0.895810811748353,1,600.0,HARD_SL_HIT,31,2.58,-1.7045,-10.23,0.9108
9,ICP,B,LONG,2025-11-01 03:25:00+00:00,2025-11-01 03:25:00+00:00,3.019,3.024,5m,20,0.9344579715011166,0.8912483633401538,1,450.0,TREND_EXHAUSTION,0,0.0,0.0856,0.39,0.9613
7,SUI,C,SHORT,2025-11-01 00:40:00+00:00,2025-11-01 03:30:00+00:00,2.3446,2.3744,5m,20,0.8911217889641132,0.8841753157237812,1,700.0000000000001,TREND_EXHAUSTION,34,2.83,-1.351,-9.46,0.967
11,RENDER,B,LONG,2025-11-01 03:35:00+00:00,2025-11-01 03:35:00+00:00,2.24,2.239,5m,20,0.9347693396433144,0.9248536782595833,1,600.0,TREND_EXHAUSTION,0,0.0,-0.1246,-0.75,0.9496
4,ADA,A,SHORT,2025-11-01 00:35:00+00:00,2025-11-01 03:45:00+00:00,0.6058,0.6121,5m,22,0.7797530503793547,0.8690009269586835,1,700.0000000000001,TREND_EXHAUSTION,38,3.17,-1.1199,-7.84,0.973
8,BCH,A,SHORT,2025-11-01 00:45:00+00:00,2025-11-01 04:05:00+00:00,537.27,545.69,5m,153,0.9318238252629929,0.8697380162334025,1,700.0000000000001,HARD_SL_HIT,40,3.33,-1.6472,-11.53,0.9325
12,BNB,A,LONG,2025-11-01 03:40:00+00:00,2025-11-01 06:15:00+00:00,1088.88,1085.58,5m,20,0.8959800397669841,0.8802214844370736,1,700.0000000000001,TREND_EXHAUSTION,31,2.58,-0.3831,-2.68,0.9581
2,OP,C,SHORT,2025-11-01 04:00:00+00:00,2025-11-01 08:00:00+00:00,0.4018,0.4095,4h,32,0.9177714917294962,0.8289816519072408,5,3500.0000000000005,HARD_SL_HIT,1,4.0,-1.9964,-69.87,0.9178
15,NEAR,B,SHORT,2025-11-01 06:20:00+00:00,2025-11-01 08:00:00+00:00,2.11,2.146,5m,23,0.9327688554150632,0.9288884646785271,1,600.0,HARD_SL_HIT,20,1.67,-1.7862,-10.72,0.9347
17,TIA,C,LONG,2025-11-01 08:05:00+00:00,2025-11-01 08:10:00+00:00,0.9273,0.9269,5m,20,0.9317235435029629,0.8766004551151143,1,700.0000000000001,TREND_EXHAUSTION,1,0.08,-0.1231,-0.86,0.9618
5,LINK,A,SHORT,2025-11-01 00:35:00+00:00,2025-11-01 08:55:00+00:00,17.11,17.375,5m,28,0.9231899744329878,0.8738685260407697,1,700.0000000000001,HARD_SL_HIT,100,8.33,-1.6288,-11.4,0.9382
19,ADA,A,LONG,2025-11-01 09:00:00+00:00,2025-11-01 14:10:00+00:00,0.616,0.6059,5m,38,0.90707849940228,0.9196521203822778,1,700.0000000000001,HARD_SL_HIT,62,5.17,-1.7196,-12.04,0.9288
3,SHIB,C,LONG,2025-11-01 00:15:00+00:00,2025-11-01 16:55:00+00:00,1.004e-05,1.017e-05,5m,41,0.9460688658814375,0.9351754511840039,1,525.0000000000001,TIME_BARRIER,200,16.67,1.2148,6.38,0.9525
10,THETA,B,LONG,2025-11-01 03:30:00+00:00,2025-11-01 20:10:00+00:00,0.4915,0.4996,5m,20,0.9155478303591624,0.8926030102367117,1,600.0,TIME_BARRIER,200,16.67,1.568,9.41,0.9589
13,XRP,A,LONG,2025-11-01 03:50:00+00:00,2025-11-01 20:30:00+00:00,2.514,2.5087,5m,22,0.91411568545047,0.9071113082399896,1,700.0000000000001,TIME_BARRIER,200,16.67,-0.2908,-2.04,0.9157
14,RENDER,B,LONG,2025-11-01 04:10:00+00:00,2025-11-01 20:50:00+00:00,2.245,2.34,5m,26,0.9452616775699304,0.937047011713927,1,600.0,TIME_BARRIER,200,16.67,4.1516,24.91,0.9453
24,RENDER,B,LONG,2025-11-01 20:55:00+00:00,2025-11-01 21:55:00+00:00,2.341,2.303,5m,20,0.910803516543062,0.8708414644014445,1,600.0,HARD_SL_HIT,12,1.0,-1.7032,-10.22,0.9108
18,BTC,A,LONG,2025-11-01 08:15:00+00:00,2025-11-02 00:55:00+00:00,110117.0,109932.3,5m,137,0.8221321377582615,0.8676574711348606,1,700.0000000000001,TIME_BARRIER,200,16.67,-0.2477,-1.73,0.8221
23,WIF,C,LONG,2025-11-01 20:35:00+00:00,2025-11-02 01:45:00+00:00,0.5389,0.5302,5m,197,0.9006326079521436,0.9075366239818281,1,525.0000000000001,HARD_SL_HIT,62,5.17,-1.6944,-8.9,0.901
20,BCH,A,LONG,2025-11-01 14:15:00+00:00,2025-11-02 06:55:00+00:00,551.5,547.6,5m,182,0.9336268395563926,0.9234314819339335,1,700.0000000000001,TIME_BARRIER,200,16.67,-0.7872,-5.51,0.9336
21,BONK,C,LONG,2025-11-01 17:00:00+00:00,2025-11-02 09:40:00+00:00,1.428e-05,1.415e-05,5m,20,0.9306457498735285,0.88356495023519,1,525.0000000000001,TIME_BARRIER,200,16.67,-0.9904,-5.2,0.9611
25,BNB,A,SHORT,2025-11-01 22:00:00+00:00,2025-11-02 10:35:00+00:00,1090.4,1082.59,5m,20,0.873686006440114,0.8788011911559863,1,700.0000000000001,TREND_EXHAUSTION,151,12.58,0.6363,4.45,0.9646
30,DOT,A,SHORT,2025-11-02 10:40:00+00:00,2025-11-02 10:50:00+00:00,2.965,2.962,5m,20,0.869512778093279,0.8687138511979178,1,700.0000000000001,TREND_EXHAUSTION,2,0.17,0.0212,0.15,0.9401
22,AR,B,LONG,2025-11-01 20:15:00+00:00,2025-11-02 12:55:00+00:00,4.135,4.386,5m,193,0.9535337271188883,0.9249405466064096,1,600.0,TIME_BARRIER,200,16.67,5.9901,35.94,0.9535
28,SOL,A,LONG,2025-11-02 07:00:00+00:00,2025-11-02 13:20:00+00:00,187.3,184.25,5m,73,0.8446744203205139,0.8855537735817006,1,700.0000000000001,HARD_SL_HIT,76,6.33,-1.7084,-11.96,0.8457
31,BTC,A,SHORT,2025-11-02 10:55:00+00:00,2025-11-02 13:40:00+00:00,110369.1,110321.2,5m,22,0.8766186262258413,0.916712682254728,1,700.0000000000001,TREND_EXHAUSTION,33,2.75,-0.0366,-0.26,0.9785
26,SHIB,C,SHORT,2025-11-02 01:00:00+00:00,2025-11-02 17:40:00+00:00,1.015e-05,1.004e-05,5m,20,0.9028975188516986,0.8738133697299049,1,525.0000000000001,TIME_BARRIER,200,16.67,1.0037,5.27,0.959
27,DOGE,C,SHORT,2025-11-02 01:50:00+00:00,2025-11-02 18:30:00+00:00,0.18609,0.18401,5m,27,0.8725245209026505,0.8891317456949135,1,700.0000000000001,TIME_BARRIER,200,16.67,1.0377,7.26,0.9388
34,SOL,A,SHORT,2025-11-02 13:45:00+00:00,2025-11-02 21:35:00+00:00,184.88,185.31,5m,20,0.9105767420867391,0.8925733267983941,1,700.0000000000001,TREND_EXHAUSTION,94,7.83,-0.3126,-2.19,0.9516
36,INJ,B,SHORT,2025-11-02 18:35:00+00:00,2025-11-02 23:00:00+00:00,7.621,7.743,5m,131,0.9344225729195214,0.939422429057091,1,600.0,HARD_SL_HIT,53,4.42,-1.6808,-10.09,0.9355
38,DOT,A,SHORT,2025-11-02 23:05:00+00:00,2025-11-02 23:50:00+00:00,2.933,2.986,5m,200,0.8789630117429735,0.9391152789237424,1,700.0000000000001,HARD_SL_HIT,9,0.75,-1.887,-13.21,0.879
39,INJ,B,LONG,2025-11-02 23:55:00+00:00,2025-11-03 00:45:00+00:00,7.842,7.721,5m,52,0.9568255192906066,0.952563515803005,1,600.0,HARD_SL_HIT,10,0.83,-1.623,-9.74,0.9576
40,SOL,A,LONG,2025-11-03 00:50:00+00:00,2025-11-03 02:00:00+00:00,188.02,185.0,5m,28,0.9384146689316153,0.937986118739533,1,700.0000000000001,HARD_SL_HIT,14,1.17,-1.6862,-11.8,0.9384
29,ETH,A,LONG,2025-11-02 09:45:00+00:00,2025-11-03 02:25:00+00:00,3875.34,3811.92,5m,142,0.8529022482633045,0.8688304746310495,1,700.0000000000001,HARD_SL_HIT,200,16.67,-1.7165,-12.02,0.8529
1,LTC,A,LONG,2025-11-01 00:30:00+00:00,2025-11-03 04:00:00+00:00,95.24,93.53,30m,67,0.905405211259508,0.882438508080713,3,2100.0000000000005,HARD_SL_HIT,103,51.5,-1.8755,-39.38,0.9602
42,AR,B,SHORT,2025-11-03 02:30:00+00:00,2025-11-03 04:40:00+00:00,4.056,3.874,5m,36,0.9235811701570403,0.8806165435760396,1,600.0,TREND_EXHAUSTION,26,2.17,4.4072,26.44,0.9622
16,FIL,B,LONG,2025-11-01 08:30:00+00:00,2025-11-03 05:30:00+00:00,1.56,1.518,30m,32,0.9557938103212366,0.9529496011576898,3,1800.0,HARD_SL_HIT,90,45.0,-2.7723,-49.9,0.9597
32,BNB,A,SHORT,2025-11-02 13:00:00+00:00,2025-11-03 05:40:00+00:00,1085.14,1038.56,5m,75,0.7698953924526747,0.8718758567925416,1,700.0000000000001,TIME_BARRIER,200,16.67,4.2125,29.49,0.9567
46,ICP,B,SHORT,2025-11-03 05:45:00+00:00,2025-11-03 05:55:00+00:00,3.901,3.978,5m,55,0.9104582623215725,0.9234639414651867,1,450.0,HARD_SL_HIT,2,0.17,-2.0539,-9.24,0.9105
33,BCH,A,SHORT,2025-11-02 13:25:00+00:00,2025-11-03 06:05:00+00:00,531.86,529.29,5m,71,0.8199324341357712,0.8734764684107759,1,700.0000000000001,TIME_BARRIER,200,16.67,0.4032,2.82,0.9185
35,FET,B,SHORT,2025-11-02 17:45:00+00:00,2025-11-03 10:25:00+00:00,0.2436,0.229,5m,157,0.9141294739623452,0.8734157524843593,1,600.0,TIME_BARRIER,200,16.67,5.9134,35.48,0.9157
37,BTC,A,SHORT,2025-11-02 21:40:00+00:00,2025-11-03 14:20:00+00:00,110008.9,107609.7,5m,166,0.8365451762003272,0.9455009665023945,1,700.0000000000001,TIME_BARRIER,200,16.67,2.1009,14.71,0.9195
41,XRP,A,SHORT,2025-11-03 02:15:00+00:00,2025-11-03 18:55:00+00:00,2.4868,2.3467,5m,29,0.9612956873157273,0.9535349188041277,1,700.0000000000001,TIME_BARRIER,200,16.67,5.5537,38.88,0.9802
43,TRX,A,SHORT,2025-11-03 05:10:00+00:00,2025-11-03 21:50:00+00:00,0.29399,0.28282,5m,55,0.9586288138559397,0.9548396431482827,1,700.0000000000001,TIME_BARRIER,200,16.67,3.7194,26.04,0.9586
44,AR,B,SHORT,2025-11-03 05:15:00+00:00,2025-11-03 21:55:00+00:00,3.964,3.694,5m,73,0.952080469772557,0.9200072885859744,1,600.0,TIME_BARRIER,200,16.67,6.7313,40.39,0.9521
45,INJ,B,SHORT,2025-11-03 05:35:00+00:00,2025-11-03 22:15:00+00:00,7.353,6.79,5m,77,0.9407299691621067,0.9063689290004302,1,600.0,TIME_BARRIER,200,16.67,7.5767,45.46,0.9407
47,BNB,A,SHORT,2025-11-03 06:00:00+00:00,2025-11-03 22:40:00+00:00,1037.54,987.88,5m,77,0.9588469512564678,0.951457881328353,1,700.0000000000001,TIME_BARRIER,200,16.67,4.7063,32.94,0.9588
48,SOL,A,SHORT,2025-11-03 06:10:00+00:00,2025-11-03 22:50:00+00:00,176.67,165.86,5m,74,0.9622719455400847,0.9363317027191906,1,700.0000000000001,TIME_BARRIER,200,16.67,6.0388,42.27,0.9626
54,DOT,A,SHORT,2025-11-03 22:20:00+00:00,2025-11-04 00:35:00+00:00,2.559,2.62,5m,162,0.9082212533266124,0.8686901454096384,1,700.0000000000001,HARD_SL_HIT,27,2.25,-2.4637,-17.25,0.9106
52,XRP,A,SHORT,2025-11-03 21:55:00+00:00,2025-11-04 02:15:00+00:00,2.3099,2.3485,5m,56,0.9371154337519075,0.8910099290891041,1,700.0000000000001,HARD_SL_HIT,52,4.33,-1.7511,-12.26,0.9371
57,LTC,A,SHORT,2025-11-04 00:40:00+00:00,2025-11-04 02:20:00+00:00,88.41,89.75,5m,200,0.9333520396452653,0.8683452291898096,1,700.0000000000001,HARD_SL_HIT,20,1.67,-1.5957,-11.17,0.9334
49,ETH,A,SHORT,2025-11-03 10:30:00+00:00,2025-11-04 03:10:00+00:00,3715.91,3645.29,5m,154,0.9129859984280876,0.8923629417566387,1,700.0000000000001,TIME_BARRIER,200,16.67,1.8205,12.74,0.913
53,ADA,A,SHORT,2025-11-03 22:00:00+00:00,2025-11-04 03:30:00+00:00,0.5525,0.5614,5m,54,0.9368915048839338,0.9317258396225379,1,700.0000000000001,HARD_SL_HIT,66,5.5,-1.6909,-11.84,0.9369
