trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
1,ICP,B,LONG,2025-11-02 16:00:00+00:00,2025-11-02 16:05:00+00:00,3.937,4.066719984724675,5m,81,0.950859789257696,0.8812399598857775,5,2250.0,3.7673571428571426,ADAPTIVE_TRAIL_HIT,1,0.08,16.4745,370.68,0.9431
2,ICP,B,LONG,2025-11-02 17:00:00+00:00,2025-11-02 17:30:00+00:00,4.069,4.092539833051744,30m,21,0.9460271730780483,0.9011881001019348,3,1350.0,3.753642857142857,ADAPTIVE_TRAIL_HIT,1,0.5,1.7355,23.43,0.9442
3,ICP,B,LONG,2025-11-02 18:00:00+00:00,2025-11-02 18:30:00+00:00,4.042,4.141315480364829,30m,23,0.9504014073817669,0.9105880277414903,5,2250.0,3.7153928571428567,ADAPTIVE_TRAIL_HIT,1,0.5,12.2854,276.42,0.9491
4,ICP,B,LONG,2025-11-02 19:00:00+00:00,2025-11-02 19:30:00+00:00,4.093,4.1753426173038255,30m,25,0.9555847339970326,0.9231434673824347,5,2250.0,3.738178571428571,ADAPTIVE_TRAIL_HIT,1,0.5,10.059,226.33,0.9483
5,ICP,B,LONG,2025-11-03 00:00:00+00:00,2025-11-03 00:30:00+00:00,4.01,4.059947853565602,30m,119,0.9581870804915206,0.8317021095243244,5,2250.0,3.699821428571428,ADAPTIVE_TRAIL_HIT,1,0.5,6.2279,140.13,0.9592
6,ICP,B,LONG,2025-11-03 01:00:00+00:00,2025-11-03 01:30:00+00:00,4.103,4.083563564562144,30m,121,0.9596589959708567,0.8331400621205136,5,2250.0,3.7613928571428565,ADAPTIVE_TRAIL_HIT,1,0.5,-2.3686,-53.29,0.9608
7,ICP,B,LONG,2025-11-03 02:00:00+00:00,2025-11-03 02:30:00+00:00,4.072,4.105054798976929,30m,123,0.9612769897017908,0.8373988041731185,5,2250.0,3.7321785714285713,ADAPTIVE_TRAIL_HIT,1,0.5,4.0588,91.32,0.9621
8,ICP,B,LONG,2025-11-03 03:00:00+00:00,2025-11-03 03:30:00+00:00,4.13,4.123825894836747,30m,125,0.9625756917663597,0.8409666710412335,5,2250.0,3.809107142857143,ADAPTIVE_TRAIL_HIT,1,0.5,-0.7475,-16.82,0.9628
9,SOL,A,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:05:00+00:00,177.01,177.0681361549114,5m,22,0.9756459612950155,0.9558288593132824,5,3500.0000000000005,180.3319642857143,ADAPTIVE_TRAIL_HIT,1,0.08,-0.1642,-5.75,0.9801
10,ADA,A,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:20:00+00:00,0.5735,0.5735104115190144,5m,47,0.981576877977633,0.8473680937509648,5,3500.0000000000005,0.5848517857142856,ADAPTIVE_TRAIL_HIT,4,0.33,-0.0091,-0.32,0.9806
