trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
1,ICP,B,LONG,2025-11-02 16:00:00+00:00,2025-11-02 16:05:00+00:00,3.937,4.066719984724675,5m,81,0.950859789257696,0.8812399598857775,5,2250.0,3.7673571428571426,ADAPTIVE_TRAIL_HIT,1,0.08,16.4745,367.98,0.9431
2,ICP,B,LONG,2025-11-02 17:00:00+00:00,2025-11-02 17:30:00+00:00,4.069,4.092539833051744,30m,21,0.9460271730780483,0.9011881001019348,3,1350.0,3.753642857142857,ADAPTIVE_TRAIL_HIT,1,0.5,1.7355,21.81,0.9442
3,ICP,B,LONG,2025-11-02 18:00:00+00:00,2025-11-02 18:30:00+00:00,4.042,4.141315480364829,30m,23,0.9504014073817669,0.9105880277414903,5,2250.0,3.7153928571428567,ADAPTIVE_TRAIL_HIT,1,0.5,12.2854,273.72,0.9491
4,ICP,B,LONG,2025-11-02 19:00:00+00:00,2025-11-02 19:30:00+00:00,4.093,4.1753426173038255,30m,25,0.9555847339970326,0.9231434673824347,5,2250.0,3.738178571428571,ADAPTIVE_TRAIL_HIT,1,0.5,10.059,223.63,0.9483
5,SOL,A,SHORT,2025-11-03 04:00:00+00:00,2025-11-03 04:05:00+00:00,177.01,177.0681361549114,5m,22,0.9756459612950155,0.9558288593132824,5,3500.0000000000005,180.3319642857143,ADAPTIVE_TRAIL_HIT,1,0.08,-0.1642,-9.95,0.9801
6,SOL,A,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,178.05,176.5316459393254,5m,59,0.9718005601643641,0.9249504311515856,5,3500.0000000000005,180.71500000000003,ADAPTIVE_TRAIL_HIT,1,0.08,4.2638,145.03,0.9665
7,ADA,A,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,0.5786,0.5706457595481076,5m,62,0.9808701236363165,0.9129199644780885,5,3500.0000000000005,0.5872589285714286,ADAPTIVE_TRAIL_HIT,1,0.08,6.8737,236.38,0.9701
8,INJ,B,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,7.364,7.235192272022496,5m,63,0.9713726618872998,0.9004961217866434,5,3000.0,7.466678571428572,ADAPTIVE_TRAIL_HIT,1,0.08,8.7458,258.77,0.9557
9,PEPE,C,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,6.26e-06,6.170288740979293e-06,5m,63,0.9834419167306477,0.9116871007766204,5,2625.0000000000005,6.373750000000001e-06,ADAPTIVE_TRAIL_HIT,1,0.08,7.1654,183.37,0.9735
10,DOGE,C,SHORT,2025-11-03 05:00:00+00:00,2025-11-03 05:05:00+00:00,0.17607,0.17397834751990449,5m,62,0.969548087502909,0.8818899670804701,5,3500.0000000000005,0.1787001785714286,ADAPTIVE_TRAIL_HIT,1,0.08,5.9398,201.59,0.9616
