trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
1,FET,B,LONG,2026-03-15 16:00:00+00:00,2026-03-16 00:00:00+00:00,0.2003,0.1950761311746266,4h,42,0.9544678025595954,0.9247611232957165,5,3000.0,0.18271071428571428,ADAPTIVE_TRAIL_HIT,2,8.0,-13.0401,-394.8,0.958
2,OP,C,LONG,2026-03-16 00:00:00+00:00,2026-03-16 00:05:00+00:00,0.1283,0.12854141581716394,5m,129,0.9219850678433557,0.9069060953857307,3,2100.0000000000005,0.126675,ADAPTIVE_TRAIL_HIT,1,0.08,0.5645,9.33,0.9222
3,OP,C,LONG,2026-03-16 01:00:00+00:00,2026-03-16 01:30:00+00:00,0.1281,0.12800275184121326,30m,86,0.904047468134597,0.8136322706260135,3,2100.0000000000005,0.12440892857142859,ADAPTIVE_TRAIL_HIT,1,0.5,-0.2277,-7.3,0.9073
4,OP,C,LONG,2026-03-16 02:00:00+00:00,2026-03-16 02:30:00+00:00,0.1276,0.128120213666363,30m,88,0.9092296698882192,0.8074230591873508,3,2100.0000000000005,0.12397857142857144,ADAPTIVE_TRAIL_HIT,1,0.5,1.2231,23.16,0.9109
5,OP,C,LONG,2026-03-16 03:00:00+00:00,2026-03-16 10:30:00+00:00,0.1287,0.13035616287964333,30m,90,0.9128286818761565,0.8001773687739543,3,2100.0000000000005,0.1250321428571429,ADAPTIVE_TRAIL_HIT,15,7.5,3.8605,78.55,0.9383
6,ETH,A,LONG,2026-03-16 04:00:00+00:00,2026-03-16 06:30:00+00:00,2248.28,2266.9824406299967,30m,25,0.9521480329212848,0.8831857284878136,5,3500.0000000000005,2168.6178571428577,ADAPTIVE_TRAIL_HIT,5,2.5,4.1593,141.37,0.9605
7,BNB,A,LONG,2026-03-16 04:00:00+00:00,2026-03-16 05:30:00+00:00,682.22,683.8233604116325,30m,24,0.9189747574640094,0.9039559887646972,3,2100.0000000000005,665.2178571428572,ADAPTIVE_TRAIL_HIT,3,1.5,0.7051,12.29,0.9466
8,XRP,A,LONG,2026-03-16 04:00:00+00:00,2026-03-16 11:30:00+00:00,1.4688,1.4666871194787348,30m,85,0.901696221808789,0.724736185623241,3,2100.0000000000005,1.4221857142857144,ADAPTIVE_TRAIL_HIT,15,7.5,-0.4316,-11.58,0.9102
9,LINK,A,LONG,2026-03-16 04:00:00+00:00,2026-03-16 05:00:00+00:00,9.753,9.702274064795448,30m,23,0.9398770758856356,0.8801928384415703,3,2100.0000000000005,9.363464285714285,ADAPTIVE_TRAIL_HIT,2,1.0,-1.5603,-35.29,0.9536
10,LINK,A,LONG,2026-03-16 05:00:00+00:00,2026-03-16 05:30:00+00:00,9.735,9.741955442443878,30m,21,0.9475971085369274,0.8994150355073794,3,2100.0000000000005,9.327124999999999,ADAPTIVE_TRAIL_HIT,1,0.5,0.2143,1.98,0.9507
11,BNB,A,LONG,2026-03-16 06:00:00+00:00,2026-03-16 06:30:00+00:00,681.05,684.0976948784764,30m,27,0.9499531334842388,0.9417626390769037,3,2100.0000000000005,665.4221428571428,ADAPTIVE_TRAIL_HIT,1,0.5,1.3425,25.67,0.9361
12,LINK,A,LONG,2026-03-16 06:00:00+00:00,2026-03-16 06:30:00+00:00,9.704,9.769078109056855,30m,23,0.9596748303438473,0.9241158614339192,5,3500.0000000000005,9.342785714285714,ADAPTIVE_TRAIL_HIT,1,0.5,3.3532,113.16,0.9484
13,ETH,A,LONG,2026-03-16 07:00:00+00:00,2026-03-16 07:30:00+00:00,2266.15,2271.626658909391,30m,30,0.9642101839318916,0.9283000258217787,5,3500.0000000000005,2191.283928571429,ADAPTIVE_TRAIL_HIT,1,0.5,1.2084,38.09,0.9623
14,LINK,A,LONG,2026-03-16 07:00:00+00:00,2026-03-16 07:30:00+00:00,9.731,9.778998428758852,30m,29,0.9614992536413501,0.9317021336888762,5,3500.0000000000005,9.391607142857142,ADAPTIVE_TRAIL_HIT,1,0.5,2.4663,82.12,0.9539
15,ADA,A,LONG,2026-03-16 08:00:00+00:00,2026-03-16 08:05:00+00:00,0.2914,0.2940928327175725,5m,78,0.9624600911602493,0.9198501125273976,5,3500.0000000000005,0.28705892857142856,ADAPTIVE_TRAIL_HIT,1,0.08,4.6205,157.52,0.9623
16,LTC,A,LONG,2026-03-16 08:00:00+00:00,2026-03-16 08:15:00+00:00,57.54,57.42799881897722,5m,184,0.9547774128674018,0.9207856212603763,5,3500.0000000000005,57.1175,ADAPTIVE_TRAIL_HIT,3,0.25,-0.9732,-38.26,0.957
17,FET,B,LONG,2026-03-16 08:00:00+00:00,2026-03-17 16:00:00+00:00,0.2183,0.22751963360435243,4h,42,0.9583168655444253,0.9380647205381432,5,3000.0,0.19812142857142856,ADAPTIVE_TRAIL_HIT,8,32.0,21.1169,629.91,0.9479
18,INJ,B,LONG,2026-03-16 08:00:00+00:00,2026-03-16 08:05:00+00:00,3.217,3.2215316354116705,5m,84,0.9656945970390532,0.9187937863556278,5,3000.0,3.1937857142857147,ADAPTIVE_TRAIL_HIT,1,0.08,0.7043,17.53,0.9668
19,ATOM,B,LONG,2026-03-16 08:00:00+00:00,2026-03-16 08:05:00+00:00,1.906,1.9073145026797864,5m,104,0.9631588541544703,0.8676067755226894,5,3000.0,1.8965357142857142,ADAPTIVE_TRAIL_HIT,1,0.08,0.3448,6.74,0.9637
20,PEPE,C,LONG,2026-03-16 08:00:00+00:00,2026-03-16 08:10:00+00:00,4.04e-06,4.025117167559647e-06,5m,66,0.988898136594649,0.97309168241279,5,2625.0000000000005,3.886785714285715e-06,ADAPTIVE_TRAIL_HIT,2,0.17,-1.8419,-53.08,0.9884
21,LTC,A,LONG,2026-03-16 09:00:00+00:00,2026-03-16 09:05:00+00:00,57.35,57.50781634319229,5m,198,0.9580448934926803,0.9288658877840217,5,3500.0000000000005,56.72785714285715,ADAPTIVE_TRAIL_HIT,1,0.08,1.3759,43.96,0.9585
22,INJ,B,LONG,2026-03-16 09:00:00+00:00,2026-03-16 09:05:00+00:00,3.193,3.2205513910321724,5m,105,0.9435511729037487,0.9187870558488543,3,1800.0,3.158357142857143,ADAPTIVE_TRAIL_HIT,1,0.08,2.5886,44.43,0.9377
23,ATOM,B,LONG,2026-03-16 09:00:00+00:00,2026-03-16 09:30:00+00:00,1.902,1.9103447570839196,30m,20,0.9667501206764826,0.9312376006822528,5,3000.0,1.8743214285714285,ADAPTIVE_TRAIL_HIT,1,0.5,2.1937,62.21,0.946
24,PEPE,C,LONG,2026-03-16 09:00:00+00:00,2026-03-16 09:05:00+00:00,3.92e-06,4.061418338635182e-06,5m,81,0.9792491223040503,0.9652818611973636,5,2625.0000000000005,3.718035714285714e-06,ADAPTIVE_TRAIL_HIT,1,0.08,18.0381,468.77,0.9725
25,TIA,C,LONG,2026-03-16 09:00:00+00:00,2026-03-16 09:05:00+00:00,0.369,0.3709767271332571,5m,105,0.9650741559638382,0.9349919140317267,5,3500.0000000000005,0.3612,ADAPTIVE_TRAIL_HIT,1,0.08,2.6785,87.45,0.964
26,ADA,A,LONG,2026-03-16 10:00:00+00:00,2026-03-16 10:30:00+00:00,0.2869,0.2912855096441745,30m,31,0.9492270504315699,0.9186054919637899,3,2100.0000000000005,0.2731803571428571,ADAPTIVE_TRAIL_HIT,1,0.5,4.5858,93.78,0.9392
27,LTC,A,LONG,2026-03-16 10:00:00+00:00,2026-03-16 10:30:00+00:00,57.48,57.69763523254736,30m,35,0.9621352119258018,0.933990828744993,5,3500.0000000000005,56.16607142857143,ADAPTIVE_TRAIL_HIT,1,0.5,1.8931,62.06,0.9587
28,INJ,B,LONG,2026-03-16 10:00:00+00:00,2026-03-16 11:00:00+00:00,3.184,3.2010097621632148,1h,20,0.9487953013285036,0.8825856478524533,3,1800.0,3.0948928571428573,ADAPTIVE_TRAIL_HIT,1,1.0,1.6027,26.69,0.9329
29,ATOM,B,LONG,2026-03-16 10:00:00+00:00,2026-03-16 10:30:00+00:00,1.898,1.9102189173555297,30m,22,0.9566215639604251,0.9249092640614104,5,3000.0,1.8706785714285714,ADAPTIVE_TRAIL_HIT,1,0.5,3.2189,92.97,0.9052
30,PEPE,C,LONG,2026-03-16 10:00:00+00:00,2026-03-16 10:05:00+00:00,4.02e-06,4.102357708125524e-06,5m,97,0.9705685106563673,0.9520498888693113,5,2625.0000000000005,3.866785714285713e-06,ADAPTIVE_TRAIL_HIT,1,0.08,10.2435,264.17,0.9681
31,ADA,A,LONG,2026-03-16 11:00:00+00:00,2026-03-16 11:30:00+00:00,0.2853,0.29125975148799393,30m,34,0.9449633406389987,0.9182285224171178,3,2100.0000000000005,0.2733446428571428,ADAPTIVE_TRAIL_HIT,1,0.5,6.2668,129.08,0.9276
32,LTC,A,LONG,2026-03-16 11:00:00+00:00,2026-03-16 11:30:00+00:00,57.27,57.73381696894072,30m,38,0.9630883850420342,0.9371630349707006,5,3500.0000000000005,56.13946428571429,ADAPTIVE_TRAIL_HIT,1,0.5,4.0494,137.53,0.9539
33,ATOM,B,LONG,2026-03-16 11:00:00+00:00,2026-03-16 12:00:00+00:00,1.905,1.908872515372361,1h,20,0.9494091956911311,0.9076569414909714,3,1800.0,1.8673214285714286,ADAPTIVE_TRAIL_HIT,1,1.0,0.6098,8.82,0.9519
34,TIA,C,LONG,2026-03-16 11:00:00+00:00,2026-03-16 12:00:00+00:00,0.3672,0.36945747227108017,1h,20,0.9552693001569413,0.9354812284567917,5,3500.0000000000005,0.3505321428571429,ADAPTIVE_TRAIL_HIT,1,1.0,3.0739,101.29,0.9418
35,SUI,C,LONG,2026-03-16 11:00:00+00:00,2026-03-16 11:30:00+00:00,1.047,1.064185606336183,30m,40,0.9397339305256569,0.8896887668679795,3,2100.0000000000005,1.0112035714285714,ADAPTIVE_TRAIL_HIT,1,0.5,4.9242,100.89,0.919
