trade_id,asset,group,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r,entry_commission,exit_commission,total_commission
1,ATOM,B,SHORT,2026-03-26T10:00:00.335881+00:00,2026-03-26T10:05:17.874623+00:00,1.719,1.713,5m,142,0.9745856977134518,0.9758491546195581,5,277.612483581,1.7283214285714288,ADAPTIVE_TRAIL_HIT,1,0.09,0.2492,0.69,0.9746,0.1388,0.1383,0.2771
4,ATOM,B,SHORT,2026-03-26T10:30:45.789776+00:00,2026-03-26T10:35:28.290978+00:00,1.711,1.714,5m,148,0.9754778090043464,0.9687120502378183,5,277.612483581,1.723107142857143,ADAPTIVE_TRAIL_HIT,1,0.08,-0.2753,-0.76,0.9755,0.1387,0.139,0.2777
5,DOT,A,SHORT,2026-03-26T11:20:01.385304+00:00,2026-03-26T11:25:17.906979+00:00,1.313,1.315,5m,138,0.9737467237277572,0.8834177786896016,5,324.12409225000005,1.3258392857142858,ADAPTIVE_TRAIL_HIT,1,0.09,-0.2521,-0.82,0.9737,0.1619,0.1621,0.324
6,ATOM,B,SHORT,2026-03-26T11:25:07.105700+00:00,2026-03-26T11:30:18.684880+00:00,1.709,1.709,5m,161,0.9753553058547211,0.9809232000129955,5,277.8206505,1.71825,ADAPTIVE_TRAIL_HIT,1,0.09,-0.0999,-0.28,0.9755,0.1388,0.1388,0.2776
7,NEAR,B,SHORT,2026-03-26T11:25:25.528163+00:00,2026-03-26T11:30:24.637486+00:00,1.222,1.227,5m,155,0.9812418621413034,0.9590345928982803,5,277.8206505,1.2307857142857141,ADAPTIVE_TRAIL_HIT,1,0.08,-0.5086,-1.41,0.9812,0.1387,0.1393,0.278
8,DOT,A,SHORT,2026-03-26T11:45:01.200954+00:00,2026-03-26T11:50:18.697822+00:00,1.309,1.313,5m,143,0.971954269168853,0.8807844947150953,5,324.12409225000005,1.319982142857143,ADAPTIVE_TRAIL_HIT,1,0.09,-0.4057,-1.32,0.972,0.1621,0.1625,0.3246
9,NEAR,B,SHORT,2026-03-26T11:50:06.137406+00:00,2026-03-26T11:55:24.369382+00:00,1.223,1.224,5m,162,0.9787625878016105,0.9616261654802231,5,277.8206505,1.2304285714285714,ADAPTIVE_TRAIL_HIT,1,0.09,-0.1817,-0.5,0.9788,0.1388,0.1389,0.2777
11,OP,C,SHORT,2026-03-26T12:20:09.249667+00:00,2026-03-26T12:35:27.953879+00:00,0.1081,0.1084,5m,141,0.9805775113944913,0.8733881607103421,5,324.12409225000005,0.10925178571428569,ADAPTIVE_TRAIL_HIT,3,0.26,-0.3773,-1.22,0.9806,0.1619,0.1624,0.3243
12,NEAR,B,SHORT,2026-03-26T12:45:00.210504+00:00,2026-03-26T13:05:15.727590+00:00,1.223,1.2248345,5m,180,0.9679786934373206,0.9644636852532812,5,276.076049694,1.2304285714285714,ADAPTIVE_TRAIL_HIT,4,0.34,-0.15,-0.41,0.968,0.1376,0.0,0.0
13,OP,C,SHORT,2026-03-26T12:45:11.463139+00:00,2026-03-26T13:05:16.036783+00:00,0.1081,0.10826215,5m,154,0.9772515431642417,0.8739469357621202,5,322.088724643,0.1088732142857143,ADAPTIVE_TRAIL_HIT,4,0.33,-0.15,-0.48,0.9773,0.1609,0.0,0.0
14,OP,C,SHORT,2026-03-26T14:01:57.648199+00:00,2026-03-26T14:35:36.923599+00:00,0.109,0.1091635,5m,186,0.9667879611789078,0.8349736264685865,5,322.088724643,0.11016071428571428,ADAPTIVE_TRAIL_HIT,7,0.56,-0.15,-0.48,0.9668,0.0,0.0,0.0
16,ICP,B,SHORT,2026-03-26T15:01:59.135204+00:00,2026-03-26T20:25:16.371265+00:00,2.312,2.3154679999999996,5m,198,0.9587304463974242,0.9298550587544275,5,207.05703727050002,2.331642857142857,ADAPTIVE_TRAIL_HIT,65,5.39,-0.15,-0.31,0.9617,0.0,0.0,0.0
17,SEI,C,SHORT,2026-03-26T20:02:04.670610+00:00,2026-03-26T21:30:15.471562+00:00,0.0581,0.058486057374135494,30m,45,0.9559730626066149,0.9539979189748642,5,322.088724643,0.059121428571428575,ADAPTIVE_TRAIL_HIT,3,1.47,-0.6645,-2.14,0.956,0.0,0.0,0.0
18,NEAR,B,SHORT,2026-03-27T00:01:59.448374+00:00,2026-03-27T01:30:15.434291+00:00,1.224,1.225836,30m,77,0.9487307195233126,0.9187080604118925,3,165.6456298164,1.2391785714285715,ADAPTIVE_TRAIL_HIT,3,1.47,-0.15,-0.25,0.9487,0.0,0.0,0.0
