10:56:28 [INFO] __main__: Loading 33-asset dataset...
10:56:29 [INFO] backtest.data_loader: Loaded 132 asset/TF combinations (33 assets), 13351041 total bars (640.8 MB est.)
10:56:29 [INFO] __main__: Loading pre-computed features from disk...
10:56:29 [INFO] neo_flow.precompute_features: Loaded features for 33 assets from /home/yagokhan/VaranusNeoFlow/Varanus_Extended_v1/data/features
10:56:29 [INFO] __main__: Generated 8 WFV folds
10:56:29 [INFO] __main__: === FOLD 0 ===
10:56:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4333 scans, 1902 trades
10:56:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4030 scans, 1117 trades
10:56:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4130 scans, 1290 trades
10:56:37 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3993 scans, 1011 trades
10:56:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4345 scans, 2064 trades
10:56:40 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4156 scans, 1147 trades
10:56:42 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4328 scans, 1353 trades
10:56:44 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3875 scans, 970 trades
10:56:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4263 scans, 1299 trades
10:56:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4048 scans, 1179 trades
10:56:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2319 trades
10:56:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2319 trades
10:56:54 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4316 scans, 2281 trades
10:56:55 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4272 scans, 2051 trades
10:56:57 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4392 scans, 2297 trades
10:56:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4251 scans, 1912 trades
10:57:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4238 scans, 1669 trades
10:57:03 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4348 scans, 2293 trades
10:57:05 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4072 scans, 1363 trades
10:57:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4258 scans, 1706 trades
10:57:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4209 scans, 1423 trades
10:57:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4316 scans, 2281 trades
10:57:13 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4330 scans, 2285 trades
10:57:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4220 scans, 1887 trades
10:57:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4348 scans, 2284 trades
10:57:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4309 scans, 1841 trades
10:57:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4213 scans, 1756 trades
10:57:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4293 scans, 2280 trades
10:57:24 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4206 scans, 1862 trades
10:57:26 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4164 scans, 1618 trades
10:57:28 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4297 scans, 2149 trades
10:57:30 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4284 scans, 2290 trades
10:57:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4207 scans, 1869 trades
10:57:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4254 scans, 2289 trades
10:57:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4187 scans, 2009 trades
10:57:37 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4083 scans, 1163 trades
10:57:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4268 scans, 2276 trades
10:57:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4223 scans, 2237 trades
10:57:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4194 scans, 1743 trades
10:57:45 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4239 scans, 2095 trades
10:57:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4002 scans, 1428 trades
10:57:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4223 scans, 2227 trades
10:57:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4223 scans, 2227 trades
10:57:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4239 scans, 2095 trades
10:57:54 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4156 scans, 1934 trades
10:57:56 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4247 scans, 2094 trades
10:57:58 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3675 scans, 987 trades
10:57:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4223 scans, 2227 trades
10:58:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3978 scans, 874 trades
10:58:03 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4241 scans, 1445 trades
10:58:05 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2227 trades
10:58:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2227 trades
10:58:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:10 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4223 scans, 2224 trades
10:58:12 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4146 scans, 1936 trades
10:58:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4239 scans, 2092 trades
10:58:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4165 scans, 1817 trades
10:58:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4275 scans, 2017 trades
10:58:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:23 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3915 scans, 1253 trades
10:58:25 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:27 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4223 scans, 2224 trades
10:58:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4146 scans, 1936 trades
10:58:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4239 scans, 2092 trades
10:58:34 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4260 scans, 2106 trades
10:58:36 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2037 trades
10:58:38 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4190 scans, 1837 trades
10:58:40 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4096 scans, 1626 trades
10:58:42 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4275 scans, 2019 trades
10:58:44 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4260 scans, 2106 trades
10:58:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2130 trades
10:58:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2127 trades
10:58:49 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4310 scans, 1924 trades
10:58:51 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2134 trades
10:58:53 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4225 scans, 1774 trades
10:58:55 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 1797 trades
10:58:57 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4215 scans, 1882 trades
10:58:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4263 scans, 2123 trades
10:59:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4288 scans, 2126 trades
10:59:03 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4263 scans, 2126 trades
10:59:04 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2127 trades
10:59:06 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4313 scans, 2002 trades
10:59:08 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4387 scans, 2154 trades
10:59:10 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4260 scans, 2115 trades
10:59:12 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4260 scans, 2115 trades
10:59:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4266 scans, 1795 trades
10:59:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4257 scans, 2117 trades
10:59:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4312 scans, 2025 trades
10:59:19 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3846 scans, 1104 trades
10:59:21 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2130 trades
10:59:23 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2130 trades
10:59:25 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2128 trades
10:59:27 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4262 scans, 2250 trades
10:59:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2128 trades
10:59:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4202 scans, 1990 trades
10:59:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2131 trades
10:59:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4288 scans, 2131 trades
10:59:36 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4304 scans, 2022 trades
10:59:38 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4072 scans, 1494 trades
10:59:40 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4257 scans, 2111 trades
10:59:42 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4224 scans, 2238 trades
10:59:44 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2128 trades
10:59:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2128 trades
10:59:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2131 trades
10:59:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4277 scans, 2128 trades
10:59:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4288 scans, 2126 trades
10:59:53 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4224 scans, 1873 trades
10:59:55 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
10:59:57 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
10:59:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
11:00:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
11:00:03 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
11:00:05 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
11:00:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2117 trades
11:00:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4303 scans, 2120 trades
11:00:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4379 scans, 2215 trades
11:00:12 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4224 scans, 1870 trades
11:00:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4313 scans, 2002 trades
11:00:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
11:00:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:24 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:26 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2094 trades
11:00:28 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3945 scans, 879 trades
11:00:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4282 scans, 2110 trades
11:00:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4313 scans, 2005 trades
11:00:37 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
11:00:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:44 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
11:00:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4282 scans, 2110 trades
11:00:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4080 scans, 1514 trades
